tilt,cor,gradient,contrast,focus,total_variation,kurtosis,projection_consistency
34.0,-1.5,0.00014884710045797483,0.0011480267926318836,4.6636903050512046e-07,-6.974891866956439,-0.6608017273115835,-0.059098404
34.0,-2.0,0.00015232055531149463,0.00118204935428886,4.869450488545876e-07,-7.088067701884678,-0.5499340221938626,-0.06807076
34.0,-1.0,0.00014705677365002754,0.0011299897246395373,4.6220233075798335e-07,-6.9461454663957864,-0.7485246538012736,-0.048780255
34.0,0.0,0.00013641546268315454,0.0011190523617967431,4.2991559061939757e-07,-6.620543411799839,-0.7833922956376356,-0.024663571
34.0,-0.5,0.0001406310943171515,0.0011152387371320012,4.6989968589221984e-07,-6.870728935514178,-0.7748650513018455,-0.03754675
34.0,0.5,0.00014709001853978925,0.0011809691875740622,3.822799519476965e-07,-6.59477778843471,-0.6859934706351646,-0.0101025775
34.0,1.0,0.00015692064906553633,0.0012714801974029147,5.963489227513361e-07,-7.114830085209438,-0.5195816257266045,0.00030074953
34.0,1.5,0.0001460742818640678,0.0012151257868390532,3.5762531983404446e-07,-6.505110910960606,-0.4273410101857048,-0.0029604186
34.5,-2.0,0.00015307671180510494,0.001182970446534455,4.939027584376683e-07,-7.113222871507917,-0.58534734808927,-0.068207294
34.0,2.0,0.00013851122483694262,0.0012079809105489405,4.5388652633196867e-07,-6.713397298540388,-0.4579579288023604,-0.008279632
34.5,-1.5,0.00014954379314856072,0.0011493679476136875,4.721231811848676e-07,-6.991513184138706,-0.6633497498211921,-0.059293132
34.5,-1.0,0.00014779827168760157,0.0011314648697485351,4.6881785006494934e-07,-6.992739847728184,-0.7403780622509136,-0.04902938
34.5,0.0,0.00013555783724379062,0.001120657691665526,4.3285883220635567e-07,-6.61506758417402,-0.7684828277116688,-0.024974111
34.5,-0.5,0.0001406263696221036,0.0011183024353314459,4.732145433601025e-07,-6.872732537133353,-0.7671659257775687,-0.03789682
34.5,0.5,0.00014676194145327566,0.0011842715548950119,3.753534422961431e-07,-6.5775869233267645,-0.6943543176227992,-0.008969882
